Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,228.27420043945312
FDW14,OUT017,-1.1899316310882568
NCN55,OUT010,81.87271118164062
FDQ58,OUT017,248.79991149902344
FDY38,OUT027,-1.1899316310882568
FDH56,OUT046,20.999990463256836
FDL48,OUT018,20.999990463256836
FDC48,OUT027,227.1437225341797
FDN33,OUT045,20.835657119750977
FDA36,OUT017,265.37823486328125
FDT44,OUT017,-15.90345573425293
FDQ56,OUT045,-15.90345573425293
NCC54,OUT019,-38.0933837890625
FDU11,OUT049,-38.0933837890625
DRL59,OUT013,89.1428451538086
FDM24,OUT049,20.999990463256836
FDI57,OUT045,-15.90345573425293
DRC12,OUT018,14.649927139282227
NCM42,OUT027,-15.90345573425293
FDA46,OUT010,59.6827392578125
FDA31,OUT013,-196.02865600585938
NCJ31,OUT035,36.839866638183594
FDG52,OUT046,36.839866638183594
NCL19,OUT019,36.839866638183594
FDS10,OUT035,14.649927139282227
FDX22,OUT010,65.86846923828125
NCF19,OUT035,-15.90345573425293
NCE06,OUT046,-15.90345573425293
DRC27,OUT046,-38.0933837890625
FDE21,OUT035,-15.90345573425293
NCR42,OUT019,-15.90345573425293
FDX51,OUT018,20.999990463256836
NCR06,OUT018,200.501220703125
FDU31,OUT027,20.999990463256836
FDU59,OUT017,-38.0933837890625
FDR03,OUT027,115.83599853515625
FDS49,OUT027,14.649927139282227
FDD48,OUT010,29.129295349121094
NCF18,OUT017,-15.90345573425293
NCD43,OUT027,678.56689453125
NCD54,OUT018,-15.90345573425293
FDY19,OUT010,29.129295349121094
NCY54,OUT017,-15.90345573425293
NCL19,OUT018,226.05934143066406
FDP23,OUT010,6.939356327056885
FDC26,OUT013,166.8553924560547
FDR14,OUT010,6.939356327056885
NCS41,OUT035,-38.0933837890625
FDF41,OUT035,36.839866638183594
FDU34,OUT046,14.649927139282227
DRH11,OUT046,-56.86372375488281
FDM03,OUT013,-196.02865600585938
FDS31,OUT017,20.999990463256836
FDJ20,OUT017,20.999990463256836
FDV44,OUT027,20.999990463256836
FDG02,OUT049,228.27420043945312
FDA09,OUT013,38.92267608642578
FDT04,OUT013,133.09982299804688
FDL58,OUT019,20.835657119750977
FDE52,OUT045,-1.1899316310882568
FDW12,OUT035,20.999990463256836
FDL51,OUT017,-1.1899316310882568
NCY42,OUT027,826.7152099609375
FDR07,OUT017,-15.90345573425293
FDN40,OUT045,36.839866638183594
FDB35,OUT027,43.025596618652344
FDA22,OUT017,36.839866638183594
NCL06,OUT046,-15.90345573425293
FDI35,OUT013,133.09982299804688
NCW42,OUT045,-15.90345573425293
NCX06,OUT049,227.1437225341797
FDC37,OUT027,-15.90345573425293
FDZ14,OUT018,-1.1899316310882568
DRG49,OUT049,14.649927139282227
NCG06,OUT045,-15.90345573425293
DRC36,OUT045,20.835657119750977
FDV21,OUT019,14.649927139282227
FDB53,OUT046,36.839866638183594
DRP47,OUT019,-56.86372375488281
FDA14,OUT013,-162.2730712890625
DRC24,OUT035,14.649927139282227
FDW21,OUT018,112.89124298095703
NCH29,OUT046,-38.0933837890625
FDU58,OUT013,173.04110717773438
FDY27,OUT017,-38.0933837890625
FDV56,OUT035,105.14713287353516
FDT59,OUT046,97.43559265136719
FDB23,OUT046,115.02912902832031
FDR49,OUT045,14.649927139282227
FDB03,OUT010,43.842864990234375
FDN39,OUT045,115.83599853515625
FDX02,OUT027,-38.0933837890625
FDQ16,OUT027,36.839866638183594
FDU35,OUT018,-38.0933837890625
NCT29,OUT013,-162.2730712890625
FDZ27,OUT046,118.62310791015625
FDN57,OUT017,14.649927139282227
FDA03,OUT018,-1.1899316310882568
FDZ36,OUT045,20.999990463256836
NCU05,OUT013,-162.2730712890625
FDT39,OUT018,115.83599853515625
FDK60,OUT017,20.999990463256836
FDZ25,OUT017,20.835657119750977
FDG12,OUT046,115.83599853515625
DRB01,OUT019,14.649927139282227
NCC43,OUT027,-15.90345573425293
FDX13,OUT019,14.649927139282227
FDM22,OUT049,20.835657119750977
FDJ03,OUT027,-1.1899316310882568
FDU14,OUT018,198.36331176757812
FDB33,OUT010,29.129295349121094
FDP27,OUT046,-15.90345573425293
FDO38,OUT010,59.6827392578125
FDE28,OUT027,43.025596618652344
FDO27,OUT035,20.999990463256836
DRL23,OUT027,65.71218872070312
